location,n_years_used,mean_onset_doy,sd_onset_doy,mean_cessation_doy,sd_cessation_doy,mean_season_length,earliest_normal_onset_doy,latest_normal_onset_doy
"Ajingi, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Albasu, Kano",19,174.89473684210526,37.275095553707324,263.94736842105266,22.229794031660717,89.05263157894737,137.61964128839793,212.1698323958126
"Asa, Kwara",20,109,22.140698415266613,296.65,12.679344993874258,187.65,86.85930158473339,131.14069841526663
"Atakumosa East, Osun",20,99.8,27.358439475348657,301.4,15.18794535842575,201.6,72.44156052465134,127.15843947534866
"Atakumosa West, Osun",20,86.75,27.035794986023916,305.4,13.861723140398261,218.65,59.714205013976084,113.78579498602392
"Ayedaade, Osun",20,86.75,27.035794986023916,305.4,13.861723140398261,218.65,59.714205013976084,113.78579498602392
"Ayedire, Osun",20,86.75,27.035794986023916,305.4,13.861723140398261,218.65,59.714205013976084,113.78579498602392
"Bagwai, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Baruten, Kwara",20,112.75,23.298689820855184,287.9,11.575382226268406,175.15,89.45131017914481,136.04868982085517
"Bebeji, Kano",20,167.45,33.918594496700166,270.7,24.789853612017623,103.25,133.53140550329982,201.36859449670015
"Bichi, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Boluwaduro, Osun",20,102.9,23.332606504970453,297,13.856406460551018,194.1,79.56739349502955,126.23260650497046
"Boripe, Osun",20,102.9,23.332606504970453,297,13.856406460551018,194.1,79.56739349502955,126.23260650497046
"Bunkure, Kano",20,175.9,33.894418108995005,264.25,24.148389943060497,88.35,142.005581891005,209.79441810899502
"Dala, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Dambatta, Kano",20,178.65,19.015990501071517,261.95,17.863444001058344,83.3,159.6340094989285,197.66599050107152
"Dawakin Kudu, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Dawakin Tofa, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Doguwa, Kano",20,159.9,39.86807191092563,270.35,24.62406824312557,110.45,120.03192808907437,199.76807191092564
"Ede North, Osun",20,86.75,27.035794986023916,305.4,13.861723140398261,218.65,59.714205013976084,113.78579498602392
"Ede South, Osun",20,86.75,27.035794986023916,305.4,13.861723140398261,218.65,59.714205013976084,113.78579498602392
"Edu, Kwara",20,135.05,22.81614156226845,283.05,17.07714693291655,148,112.23385843773156,157.86614156226847
"Egbedore, Osun",20,94.1,22.33689419111939,298.35,12.877050168910253,204.25,71.7631058088806,116.43689419111939
"Ejigbo, Osun",20,94.1,22.33689419111939,298.35,12.877050168910253,204.25,71.7631058088806,116.43689419111939
"Ekiti, Kwara",20,118.1,31.975154828644527,291.35,19.65565406803104,173.25,86.12484517135547,150.07515482864451
"Fagge, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Gabasawa, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Garko, Kano",20,175.9,33.894418108995005,264.25,24.148389943060497,88.35,142.005581891005,209.79441810899502
"Garum Mallam, Kano",20,167.45,33.918594496700166,270.7,24.789853612017623,103.25,133.53140550329982,201.36859449670015
